highestOwnBid,auctionId,highestBid,itemName,tag,end,startingBid,bin
17400000,25a7d7f6f1d347b6ae8bd354cee6e38a,17400000,⚚ Fierce Shadow Assassin Chestplate ✪✪,STARRED_SHADOW_ASSASSIN_CHESTPLATE,2023-08-09T23:58:38,17400000,True
24950000,44d4f3cea1f1415f9a629359c405c328,24950000,Necron's Leggings,POWER_WITHER_LEGGINGS,2023-08-09T23:57:51,24950000,True
30000000,82ac7ae12fcc42a292847dd86206deb5,30000000,Necron's Chestplate,POWER_WITHER_CHESTPLATE,2023-08-09T23:57:36,30000000,True
950000,11b929f71ca44b76bb42f9d53c7ba037,950000,Aspect of the Dragons,ASPECT_OF_THE_DRAGON,2023-08-09T23:35:21,950000,True
3299999,a46cc6e17aca4ba2909da2d3dab3aa6d,3299999,Moody Grappleshot,MOODY_GRAPPLESHOT,2023-08-09T21:54:41,3299999,True
70000,493636d1e77b4643bf1c061cd8b4c7c6,70000,Radiant Power Orb,RADIANT_POWER_ORB,2023-08-09T08:09:20,70000,True
3500000,ac898a6b629f4e1baff097636d1ac8f9,3500000,[Lvl 53] Skeleton,PET_SKELETON,2023-08-05T18:00:14,3500000,True
1580000,a9545cde46a045ba89792d5622f2e773,1580000,God Potion,GOD_POTION_2,2023-07-30T14:23:13,1580000,True
1780000,881cec2779b2481a940840f3b3b4f411,1780000,Wise Dragon Leggings,WISE_DRAGON_LEGGINGS,2023-07-29T09:03:33,1780000,True
830000,5196c59bd759437da29b7df9831b7cd0,830000,Wise Dragon Helmet,WISE_DRAGON_HELMET,2023-07-29T09:03:08,830000,True
