highestOwnBid,auctionId,highestBid,itemName,tag,end,startingBid,bin
15000,e9ed865e6014422f94cc4790b1fecec2,15000,Experimentation Table,EXPERIMENTATION_TABLE,2023-08-06T05:05:55,15000,True
60000000,bc9849b59f314be79bbf415a663a3440,60000000,⚚ Withered Shadow Fury ✪✪✪✪✪,STARRED_SHADOW_FURY,2023-07-28T14:51:06,60000000,True
21800000,043df125f0a1466fa7742c63fcae6aeb,21800000,Necron's Leggings,POWER_WITHER_LEGGINGS,2023-07-28T14:50:47,21800000,True
17999000,33d1eea46ea6422e8b6d2d42323ca322,17999000,Giant Necron's Helmet,POWER_WITHER_HELMET,2023-07-28T14:50:40,17999000,True
16000000,963f11616049479ca2f4feb323ab8521,16000000,Necron's Boots,POWER_WITHER_BOOTS,2023-07-28T14:50:34,16000000,True
27700000,114eb9360f884520820d7c867daca1ae,27700000,Necron's Chestplate,POWER_WITHER_CHESTPLATE,2023-07-28T14:50:21,27700000,True
4708888,026a600c57944bdfbcfba979e1005788,4708888,Griffin Upgrade Stone,GRIFFIN_UPGRADE_STONE_RARE,2023-07-26T15:19:10,4708888,True
3200000,58c8ded20c8047d28c032b37302ba485,3200000,Griffin Upgrade Stone,GRIFFIN_UPGRADE_STONE_UNCOMMON,2023-07-24T22:21:38,3200000,True
1750000,d3917bf144da471fab087252d6d3f310,1750000,Base Griffin Upgrade Stone,BASE_GRIFFIN_UPGRADE_STONE,2023-07-24T22:15:51,1750000,True
25000,dd2b2f5c71c64daba32fa0cdc0145c09,25000,Jungle Axe,JUNGLE_AXE,2023-07-23T03:32:47,25000,True
