highestOwnBid,auctionId,highestBid,itemName,tag,end,startingBid,bin
200000,b7eee154985e4f588f2e21f26ef4a2ef,200000,Pickonimbus 2000,PICKONIMBUS,2023-10-31T20:53:01,200000,True
11900000,517e0806bf9c42f38621d2734dd4bdcc,11900000,Sorrow Chestplate,SORROW_CHESTPLATE,2023-10-31T20:51:59,11900000,True
10300000,292a36c8f10b4fc9ade7a7894e5a4ed9,10300000,Sorrow Leggings,SORROW_LEGGINGS,2023-10-31T20:51:48,10300000,True
8000000,bc0368e6ed0e48f8ad0b53e8e501746d,8000000,Wise Sorrow Helmet,SORROW_HELMET,2023-10-31T20:51:22,8000000,True
6000000,fa2361417ec8464898730c181e995f03,6000000,Sorrow Boots,SORROW_BOOTS,2023-10-31T20:50:57,6000000,True
59000,0b510fe913c848c790852a3cc010643d,59000,Snow Suit Helmet,SNOW_SUIT_HELMET,2023-10-31T05:38:39,59000,True
50000,eb1c0e1cf22048869b365f9773c48084,50000,Snow Suit Leggings,SNOW_SUIT_LEGGINGS,2023-10-31T05:38:35,50000,True
40000,6ce26f6e4b284c2984190dba0b4e7e07,40000,Snow Suit Boots,SNOW_SUIT_BOOTS,2023-10-31T05:38:29,40000,True
40000,570a818ce0aa47369ee8f3f3297d3ee1,40000,Snow Suit Chestplate,SNOW_SUIT_CHESTPLATE,2023-10-31T05:38:17,40000,True
5500000,ff0b516a5f05455cbcae6a9d2bc357ef,5500000,Blessed Turing Sugar Cane Hoe,THEORETICAL_HOE_CANE_2,2023-10-31T02:36:07,5500000,True
