highestOwnBid,auctionId,highestBid,itemName,tag,end,startingBid,bin
1700000,152cb47198894aa39d7cd527edc4b2f5,1700000,Heroic Aurora Staff,RUNIC_STAFF,2023-10-31T21:52:04,1700000,True
540000,7776d53a28b84d16be137597429f0b96,540000,Silver Fang,SILVER_FANG,2023-10-30T22:47:52,540000,True
2400000,8a0190fe40a448a69d1b9152d2a54425,2400000,Ancient Tarantula Helmet ✪✪✪✪✪,TARANTULA_HELMET,2023-10-28T04:18:56,2400000,True
4700000,5575eb60bff8414cb191c998e9249282,4700000,Withered Reaper Falchion ✪✪✪✪✪,REAPER_SWORD,2023-10-28T04:04:33,4700000,True
2499999,96acde6a972c4c71b8969281815cd365,2499999,Lotus Cloak,LOTUS_CLOAK,2023-10-28T00:16:52,2499999,True
3000000,667ab394ac1149c8866bb80fc00536c8,3000000,Bluetooth Ring,BLUETOOTH_RING,2023-10-27T17:30:22,3000000,True
775000,7045eb0453aa4ba7b8e4cc314db9d208,775000,Dwarf Turtle Shelmet,DWARF_TURTLE_SHELMET,2023-10-27T17:29:35,775000,True
6000000,75dfa796abe94512ad49950289e42e44,6000000,Bonzo's Staff,BONZO_STAFF,2023-10-27T03:17:45,6000000,True
200000,7e1ce341e3274d16a74f068cee6563a7,200000,Dull Shark Tooth Necklace,DULL_SHARK_TOOTH_NECKLACE,2023-10-27T01:00:38,200000,True
119000,a43d35bb0743481fba13a9fd3b0aafa3,119000,Magnetic Talisman,MAGNETIC_TALISMAN,2023-10-27T01:00:02,119000,True
